,2022-12-31ZBRA,2021-12-31ZBRA,2020-12-31ZBRA
Basic EPS,0.11293003464220912,0.4542427855549741,0.14154007405695562
Basic EPS,0.11293003464220912,0.4542427855549741,0.14154007405695562
Net Income Common Stockholders,-0.30984141020810657,-0.2627404734266713,-0.3046779385288583
Net Income Common Stockholders,-0.30984141020810657,-0.2627404734266713,-0.3046779385288583
Total Liabilities Net Minority Interest,-0.2433078520298349,-0.24981596097864148,-0.24981596097864148
Net Income Including Noncontrolling Interests,-0.3142952284303641,-0.2675712392227546,-0.30917307988086684
Net Income Including Noncontrolling Interests,-0.3142952284303641,-0.2675712392227546,-0.30917307988086684
Net Income From Continuing Operation Net Minority Interest,-0.3072461344463718,-0.26024140768485654,-0.30209320985486876
Net Income From Continuing Operation Net Minority Interest,-0.3072461344463718,-0.26024140768485654,-0.30209320985486876
Tax Effect Of Unusual Items,-0.035604896066720675,0.12193614251709094,0.12136040648162108
Tax Effect Of Unusual Items,-0.035604896066720675,0.12193614251709094,0.12136040648162108
Total Equity Gross Minority Interest,-0.44454164737028856,-0.43698501620862523,-0.46227414041498865
Share Issued,-0.4704309101230426,-0.4704309101230426,-0.4704309101230426
Invested Capital,-0.46141611278568634,-0.474410018441671,-0.48415960706447136
Net Tangible Assets,-0.24657650084517418,-0.2108872533462334,-0.22781064412966995
Normalized Income,-0.295067082626577,-0.2877043799659453,-0.3287386001275412
Normalized Income,-0.295067082626577,-0.2877043799659453,-0.3287386001275412
Basic Average Shares,-0.4465701262665587,-0.44571853968875624,-0.4457219941778841
Basic Average Shares,-0.4465701262665587,-0.44571853968875624,-0.4457219941778841
Operating Revenue,-0.405729423299794,-0.4084604576265884,-0.4293688308167873
Operating Revenue,-0.405729423299794,-0.4084604576265884,-0.4293688308167873
Common Stock,-0.2443901379251969,-0.2443901379251969,-0.2443901379251969
Stockholders Equity,-0.4361606930326687,-0.428509880866358,-0.45411419249863283
Total Assets,-0.27679338849356494,-0.2817570464707492,-0.28493016115936004
Net Income Continuous Operations,-0.30923641386327494,-0.2624175607323961,-0.3041038657927775
Net Income Continuous Operations,-0.30923641386327494,-0.2624175607323961,-0.3041038657927775
Pretax Income,-0.3178927973349991,-0.27352891955004305,-0.3162186887393404
Pretax Income,-0.3178927973349991,-0.27352891955004305,-0.3162186887393404
Diluted EPS,0.12240924974153745,0.4774356527216881,0.1514664702235438
Diluted EPS,0.12240924974153745,0.4774356527216881,0.1514664702235438
Common Stock Equity,-0.4429514751510968,-0.43497169438237454,-0.46167693679562827
Net Income From Continuing And Discontinued Operation,-0.31234255306051195,-0.2654310267582197,-0.30719984563165104
Net Income From Continuing And Discontinued Operation,-0.31234255306051195,-0.2654310267582197,-0.30719984563165104
Total Revenue,-0.40557541196731334,-0.40830628334618885,-0.42921340903251465
Total Revenue,-0.40557541196731334,-0.40830628334618885,-0.42921340903251465
Total Capitalization,-0.4605062431287825,-0.47144491267836036,-0.4865973778877598
Diluted Average Shares,-0.4468437882494346,-0.44593069173474364,-0.44592334261922506
Diluted Average Shares,-0.4468437882494346,-0.44593069173474364,-0.44592334261922506
Ordinary Shares Number,-0.4436196225109374,-0.4422952720430968,-0.4422637058645131
Net Income,-0.3123454283350795,-0.26543386983279,-0.30720271737627236
Net Income,-0.3123454283350795,-0.26543386983279,-0.30720271737627236
Capital Stock,-0.2669380966010256,-0.2669380966010256,-0.2669380966010256
Diluted NI Availto Com Stockholders,-0.30962530228096435,-0.26252623714559487,-0.3044620357821672
Diluted NI Availto Com Stockholders,-0.30962530228096435,-0.26252623714559487,-0.3044620357821672
Tangible Book Value,-0.2443023596310308,-0.20699994840111802,-0.22468828106845715
Tax Rate For Calcs,-0.5788698923850167,-0.7684168862670331,-1.2422843709720746
Tax Rate For Calcs,-0.5788698923850167,-0.7684168862670331,-1.2422843709720746
