,2022-12-31ZTS,2021-12-31ZTS,2020-12-31ZTS
Basic EPS,-0.10540973983875081,-0.11645221119181083,-0.15911630505590646
Basic EPS,-0.10540973983875081,-0.11645221119181083,-0.15911630505590646
Net Income Common Stockholders,-0.10191722136813437,-0.11161447305842986,-0.16186386818087015
Net Income Common Stockholders,-0.10191722136813437,-0.11161447305842986,-0.16186386818087015
Total Liabilities Net Minority Interest,-0.21949607449573497,-0.22434492755280108,-0.2223488302394291
Net Income Including Noncontrolling Interests,-0.108409842831058,-0.11802948766791879,-0.16775180773377063
Net Income Including Noncontrolling Interests,-0.108409842831058,-0.11802948766791879,-0.16775180773377063
Net Income From Continuing Operation Net Minority Interest,-0.0997466588226776,-0.10942410256769543,-0.1595708565191515
Net Income From Continuing Operation Net Minority Interest,-0.0997466588226776,-0.10942410256769543,-0.1595708565191515
Tax Effect Of Unusual Items,0.06745185428238293,0.08331689264515951,0.10512745874983695
Tax Effect Of Unusual Items,0.06745185428238293,0.08331689264515951,0.10512745874983695
Total Equity Gross Minority Interest,-0.39426445996001847,-0.39001949982537887,-0.413231303114791
Share Issued,-0.20317572567631767,-0.20317572567631767,-0.20317572567631767
Invested Capital,-0.33575289970034355,-0.3552853519924384,-0.358063818374704
Net Tangible Assets,-0.17577804141849912,-0.17209310955436374,-0.2069634833057189
Normalized Income,-0.11495586461114593,-0.12622023872637217,-0.1820880577030974
Normalized Income,-0.11495586461114593,-0.12622023872637217,-0.1820880577030974
Basic Average Shares,-0.16005374116597168,-0.1563407154314251,-0.15551422340680937
Basic Average Shares,-0.16005374116597168,-0.1563407154314251,-0.15551422340680937
Operating Revenue,-0.36495898227836293,-0.37035011497541165,-0.3898752370130783
Operating Revenue,-0.36495898227836293,-0.37035011497541165,-0.3898752370130783
Common Stock,-0.2439654062718695,-0.2439654062718695,-0.2439654062718695
Stockholders Equity,-0.38519592035509304,-0.38098949772979074,-0.40458204201952974
Total Assets,-0.2488548691638432,-0.2527268245874458,-0.2538260821760003
Net Income Continuous Operations,-0.102933018249135,-0.11257219389372772,-0.16239546540733674
Net Income Continuous Operations,-0.102933018249135,-0.11257219389372772,-0.16239546540733674
Pretax Income,-0.09691046270804816,-0.11448860296246471,-0.16596744227897034
Pretax Income,-0.09691046270804816,-0.11448860296246471,-0.16596744227897034
Diluted EPS,-0.105293696217458,-0.1169165844102606,-0.16182319788245225
Diluted EPS,-0.105293696217458,-0.1169165844102606,-0.16182319788245225
Common Stock Equity,-0.3897953259666202,-0.3854080361415857,-0.4100150095080838
Net Income From Continuing And Discontinued Operation,-0.10525450513247864,-0.11491276054765645,-0.16496008406266874
Net Income From Continuing And Discontinued Operation,-0.10525450513247864,-0.11491276054765645,-0.16496008406266874
Total Revenue,-0.3648074035255296,-0.37019821455915386,-0.3897221716250103
Total Revenue,-0.3648074035255296,-0.37019821455915386,-0.3897221716250103
Total Capitalization,-0.3501735935052892,-0.3471121419646841,-0.3603726989186535
Diluted Average Shares,-0.16290815311856874,-0.15862711495241114,-0.15735707362978438
Diluted Average Shares,-0.16290815311856874,-0.15862711495241114,-0.15735707362978438
Ordinary Shares Number,-0.16553043111742483,-0.15961870637505093,-0.1577684084901374
Net Income,-0.10525723826213827,-0.1149155003067273,-0.16496285817414313
Net Income,-0.10525723826213827,-0.1149155003067273,-0.16496285817414313
Capital Stock,-0.2665394722911252,-0.2665394722911252,-0.2665394722911252
Diluted NI Availto Com Stockholders,-0.10170937570744834,-0.11140624205884793,-0.1616536404251913
Diluted NI Availto Com Stockholders,-0.10170937570744834,-0.11140624205884793,-0.1616536404251913
Tangible Book Value,-0.17030379050859384,-0.16645229871812484,-0.20289882288348898
Tax Rate For Calcs,0.17931808314304962,-0.13208054966312044,-0.15915869164626567
Tax Rate For Calcs,0.17931808314304962,-0.13208054966312044,-0.15915869164626567
